111974400,conv3
265420800,conv1
1194393600,conv3
132710400,conv1
132710400,conv1
298598400,conv3
33177600,conv1
33177600,conv1
74649600,conv3
16588800,conv1
16588800,conv1
19501056,conv3
4333568,conv1
8667136,conv1
33856,add
111974400,conv3
265420800,conv1
1194393600,conv3
132710400,conv1
132710400,conv1
298598400,conv3
33177600,conv1
33177600,conv1
74649600,conv3
16588800,conv1
16588800,conv1
19501056,conv3
4333568,conv1
8667136,conv1
33856,add
111974400,conv3
265420800,conv1
1194393600,conv3
132710400,conv1
132710400,conv1
298598400,conv3
33177600,conv1
33177600,conv1
74649600,conv3
16588800,conv1
16588800,conv1
19501056,conv3
4333568,conv1
8667136,conv1
33856,add
0,concat
26001408,conv1
21233664,conv3
4718592,conv1
4718592,conv1
5308416,conv3
1179648,conv1
2359296,conv1
5308416,conv3
1179648,conv1
1179648,conv1
2359296,conv3
524288,conv1
256,avgpool
