722534400,conv7
614400,maxpool
314572800,conv1
78643200,conv1
707788800,conv3
314572800,conv1
2457600,add
314572800,conv1
707788800,conv3
314572800,conv1
2457600,add
314572800,conv1
707788800,conv3
314572800,conv1
2457600,add
629145600,conv1
629145600,conv1
707788800,conv3
314572800,conv1
1228800,add
314572800,conv1
707788800,conv3
314572800,conv1
1228800,add
314572800,conv1
707788800,conv3
314572800,conv1
1228800,add
314572800,conv1
707788800,conv3
314572800,conv1
1228800,add
629145600,conv1
629145600,conv1
707788800,conv3
314572800,conv1
614400,add
314572800,conv1
707788800,conv3
314572800,conv1
614400,add
314572800,conv1
707788800,conv3
314572800,conv1
614400,add
314572800,conv1
707788800,conv3
314572800,conv1
614400,add
314572800,conv1
707788800,conv3
314572800,conv1
614400,add
314572800,conv1
707788800,conv3
314572800,conv1
614400,add
629145600,conv1
629145600,conv1
707788800,conv3
314572800,conv1
307200,add
314572800,conv1
707788800,conv3
314572800,conv1
307200,add
314572800,conv1
707788800,conv3
314572800,conv1
307200,add
629145600,conv1
629145600,conv1
0,concat
629145600,conv1
314572800,conv1
157286400,conv1
0,intpl
153600,add
0,intpl
614400,add
0,intpl
2457600,add
707788800,conv3
707788800,conv3
707788800,conv3
707788800,conv3
707788800,conv3
707788800,conv3
707788800,conv3
707788800,conv3
707788800,conv3
707788800,conv3
707788800,conv3
707788800,conv3
707788800,conv3
707788800,conv3
707788800,conv3
707788800,conv3
0,concat
707788800,conv3
707788800,conv3
707788800,conv3
707788800,conv3
0,concat
707788800,conv3
176947200,conv3
10240,maxpool
707788800,conv3
707788800,conv3
707788800,conv3
707788800,conv3
707788800,conv3
707788800,conv3
707788800,conv3
707788800,conv3
707788800,conv3
707788800,conv3
707788800,conv3
707788800,conv3
707788800,conv3
707788800,conv3
707788800,conv3
707788800,conv3
0,concat
707788800,conv3
707788800,conv3
707788800,conv3
707788800,conv3
0,concat
707788800,conv3
176947200,conv3
47185920,conv3
14745600,conv1
3686400,conv1
921600,conv1
230400,conv1
61440,conv1
58982400,conv1
14745600,conv1
3686400,conv1
921600,conv1
245760,conv1
